doc_id,doc_str
0,ARE V XE OHER
1,Tzih varal Quiche vbi.
2,"Varal xchicatzibah vi xchicatiquiba vi oher tzih, vticaribal, vxenabal puch ronohel xban, pa tinamit quiche, ramac quiche vinac; arecut xchicacam vi vcutunizaxic, vcalahobizaxic, vtzihoxic puch euaxibal zaquiribal rumal tzacol bitol alom, qaholom quibi hun ahpu vuch, hun ahpu vtiu, zaquinimac tzÿz, tepeu, qucumatz vqux cho, vqux palo, ah raxalaε, ah raxatzel chu qhaxic, rachbixic, rachtzihoxic rÿ iyom, mamom xpiyacoc, xmucane vbi, matzanel chuquenel camul yiom, camul mamom chuqhaxic pa quiche tzih."
3,"Ta xquitzihoh ronohel ruq xquiban chic chizaquil qolem, zaquil tzih vae xchicatzibah chupan chic vqhabal Dios pa christianoil chic xchiquelezah rumal mahabi chic ilbal re popo vuh."
4,ilbal zac petenac chaca palo.
5,vtzihoxic camuhibal ilbal zacqazlem chuqhaxic.
6,"qo nabe vuhil, oher tzibam puch xa eval vvach ilol re, bizol re, nim vpeoxic, vtzihoxic puch, ta chiquiz tzuk ronohel cah vleu, vcah tzucuxic, vcah xucutaxic retaxic, vcah cheexic, vmeh camaxic, vyuccamaxic vpa cah, vpa vleu cah tzuc, cah xu cut chuqhaxic rumal ri tzacol bitol vchuch, vcahau qazlem vinaquirem, abanel, quxlanel, alay rech, quxlaay rech zaquil amaquil, zaquil al, zaquil qahol, ahbiz, ahnaoh chirech ronohel ato qol vi cah vleu cho palo"
7,"ARE V TZIHOXIC VAE Cacatzinin oc, caca chamam oc catzinonic cacazilanic, caca lolinic, catolona puch v pa cah."
8,Vae cute nabe tzih nabe vchan.
9,"mahabi oε hun vinac, hun chicop, tziquin, car, tap, che abah, hul, zivan, quim, quichelah; xa v tu quel cah qolic."
10,"maui calah v vach vleu; xa vtuquel remanic palo vpacah, ronohel, mahabi na quila camolobic, cacotzobic, hun ta cazilobic camal cabantah, ca cotz cabantah pa cah."
