doc_id,doc_str
0,"THIS IS THE BEGINNING OF THE ANCIENT TRADITIONS of this place called Quiche HERE we shall write  We shall begin to tell the ancient stories of the beginning, the origin of all that was done in the citadel of Quiche, among the people of the Quiche nation 
                                  
                                                  
Here we shall gather the manifestation, the declaration, the account of the sowing and the dawning by the Framer and the Shaper, She Who Has Borne Children and He Who Has Begotten Sons, as they are called; along with Hunahpu Possum and Hunahpu Coyote, Great White Peccary and Coati, Sovereign and Quetzal Serpent, Heart of Lake and Heart of Sea, Creator of the Green Earth and Creator of the Blue Sky, as they are called."
1,"These collectively are evoked and given expression as the Midwife and the Patriarch, whose names are Xpiyacoc and Xmucane, the Protector and the Shelterer, Twice Midwife and Twice Patriarch, as they are called in Quiche traditions."
2,They gave voice to all things and accomplished their purpose in purity of being and in truth This account
3,"we shall now write under the law of God and Christianity  We shall bring it forth because there is no longer the means whereby the Popol Vuh may be seen, the means of seeing clearly that had come from across the seathe account of our obscurity, and the means of seeing life clearly, as it is said."
4,"The original book exists that was written anciently, but its witnesses and those who ponder it hide their faces Great is its performance and its account of the completion and germination of all the sky and earthits four corners and its four sides."
5,"All then was measured and staked out into four divisions, doubling over and stretching the measuring cords of the womb of sky and the womb of earth  Thus were established the four corners, the four sides, as it is said, by the Framer and the Shaper, the Mother and the Father of life and all creation, the giver of breath and the giver of heart, they who give birth and give heart to the light everlasting, the child of light born of woman and the son of light born of man, they who are compassionate and wise in all thingsall that exists in the sky and on the earth, in the lakes and in the sea."
6,THIS IS THE ACCOUNT of when all is still silent and placid  All is silent and calm  Hushed and empty is the womb of the sky.
7,"THESE, then, are the first words, the first speech."
8,"There is not yet one person, one animal, bird, fish, crab, tree, rock, hollow, canyon, meadow, or forest."
9,All alone the sky exists.
10,The face of the earth has not yet appeared.
11,"Alone lies the expanse of the sea, along with the womb of all the sky."
12,There is not yet anything gathered together.
13,All is at rest.
14,Nothing stirs.
15,"All is languid, at rest in the sky."
16,There is not yet anything standing erect.
17,"Only the expanse of the water, only the tranquil sea lies alone  There is not yet anything that might exist."
18,"All lies placid and silent in the darkness, in the night."
19,"All alone are the Framer and the Shaper, Sovereign and Quetzal Serpent, They Who Have Borne Children"
20,and They Who Have Begotten Sons.
21,"Luminous they are in the water, wrapped in quetzal feathers and cotinga feathers."
22,Thus they are called Quetzal Serpent.
23,"In their essence, they are great sages, great possessors of knowledge."
24,Thus surely there is the sky.
25,"There is also Heart of Sky, which is said to be the name of the god"
26,THEN came his word.
27,"Heart of Sky arrived here with Sovereign and Quetzal Serpent in the darkness, in the night."
28,He spoke with Sovereign and Quetzal Serpent.
29,They talked together then.
30,They thought and they pondered.
31,"They reached an accord, bringing together their words and their thoughts  Then they gave birth, heartening one another."
32,"Beneath the light, they gave birth to humanity."
33,"Then they arranged for the germination and creation of the trees and the bushes, the germination of all life and creation, in the darkness and in the night, by Heart of Sky, who is called Huracan First is Thunderbolt Huracan, second is Youngest Thunderbolt, and third is Sudden Thunderbolt  These three together are Heart of Sky"
34,Then they came together with Sovereign and Quetzal Serpent.
35,Together they conceived light and life: How shall it be sown?
36,When shall there be a dawn for anyone?
37,Who shall be a provider?
38,Who shall be a sustainer?
39,Then be it so.
40,You are conceived.
41,"May the water be taken away, emptied out, so that the plate of the earth may be createdmay it be gathered and become level."
42,Then may it be sown; then may dawn the sky and the earth.
43,"There can be no worship, no reverence given by what we have framed and what we have shaped, until humanity has been created, until people have been made, they said."
44,Then the earth was created by them.
45,Merely their word brought about the creation of it.
46,"In order to create the earth, they said, Earth, and immediately it was created."
47,"Just like a cloud, like a mist, was the creation and formation of it."
48,Then they called forth the mountains from the water.
49,Straightaway the great mountains came to be.
50,"It was merely their spirit essence, their miraculous power, that brought about the conception of the mountains and the valleys  Straightaway were created cypress groves and pine forests to cover the face of the earth."
51,"Thus Quetzal Serpent rejoiced: It is good that you have come, Heart of Skyyou, Huracan, and you as well, Youngest Thunderbolt and Sudden Thunderbolt."
52,"That which we have framed and shaped shall turn out well, they said."
53,"First the earth was created, the mountains and the valleys."
54,"The waterways were divided, their branches coursing among the mountains."
55,"Thus the waters were divided, revealing the great mountains."
56,"For thus was the creation of the earth, created then by Heart of Sky and Heart of Earth, as they are called."
57,They were the first to conceive it.
58,The sky was set apart.
59,The earth also was set apart within the waters.
60,Thus was conceived the successful completion of the work when they thought and when they pondered.
61,"THEN were conceived the animals of the mountains, the guardians of the forest, and all that populate the mountainsthe deer and the birds, the puma and the jaguar, the serpent and the rattlesnake, the pit viper and the guardian of the bushes."
62,"She Who Has Borne Children and He Who Has Begotten Sons then asked: Shall it be merely solitary, merely silent beneath the trees and the bushes?"
63,"It is well that there shall be guardians for them, they said."
64,"Thus they considered and spoke together, and immediately were created the deer and the birds."
65,"Having done this, they then provided homes for the deer and the birds: You, deer, will sleep along the courses of rivers and in the canyons."
66,Here you will be in the meadows and in the orchards.
67,In the forests you shall multiply.
68,"You will walk on all fours, and thus you will be able to stand, they were told."
69,"Then they established the homes of the birds, both small and great."
70,"You, birds, you will make your homes and your houses in the tops of trees, and in the tops of bushes."
71,"There you will multiply and increase in numbers in the branches of the trees and the bushes, the deer and the birds were told."
72,"When this had been done, all of them received their places to sleep and their places to rest."
73,Homes were provided for the animals on the earth by She Who Has Borne Children
74,and He Who Has Begotten Sons.
75,Thus all was completed for the deer and the birds.
76,"THEN it was said to the deer and the birds by the Framer and the Shaper, She Who Has Borne Children and He Who Has Begotten Sons: Speak!"
77,Call!
78,Don't moan or cry out.
79,"Speak to one another, each according to your kind, according to your group, they were toldthe deer, the birds, the pumas, the jaguars, and the serpents."
80,Speak therefore our names.
81,"Worship us, for we are your Mother and your Father."
82,"Say this, therefore: Huracan, Youngest Thunderbolt, and Sudden Thunderbolt, Heart of Sky and Heart of Earth, Framer and Shaper, She Who Has Borne Children and He Who Has Begotten Sons."
83,Speak!
84,Call upon us!
85,Worship us!
86,they were told.
87,But they did not succeed.
88,They did not speak like people.
89,They only squawked and chattered and roared.
90,"Their speech was unrecognizable, for each cried out in a different way."
91,"When they heard this, the Framer and the Shaper said, Their speech did not turn out well."
92,And again they said to each other: They were not able to speak our names.
93,We are their Framer and their Shaper.
94,"This is not good, said She Who Has Borne Children"
95,and He Who Has Begotten Sons to each other.
96,They were therefore told: You shall be replaced because you were not successful.
97,You could not speak.
98,We have therefore changed our word.
99,"Your food and your sustenance, your sleeping places and your places to rest, that which belonged to you, shall be in the canyons and the forests."
100,"Nevertheless, because you have not been able to worship us or call upon us, there will yet be someone else who may be a worshiper."
101,We shall now make one who will give honor.
102,Your calling will merely be to have your flesh eaten.
103,Thus be it so.
104,"This must be your service, they were told."
105,"Thus were commanded the animals, both small and great, that were upon the face of the earth."
106,Then they wanted to test again their fate.
107,They wanted to make another attempt.
108,They wanted to try again to arrange for those who would worship them.
109,The speech of the animals could not be understood.
110,"Because of the way they were made, they were not successful  Therefore their flesh was brought low."
111,They were made to serve.
112,The animals that were on the face of the earth were eaten and killed.
113,"THUS there was another attempt to frame and shape man by the Framer and the Shaper, by She Who Has Borne Children"
114,"and He Who Has Begotten Sons: Let us try again before the first sowing, before the dawn approaches."
115,"Let us make a provider, a sustainer for us."
116,How shall we then be called upon so that we are remembered upon the face of the earth?
117,We have already made a first attempt with what we have framed and what we have shaped.
118,But we were not successful in being worshiped or in being revered by them.
119,"Thus, let us try again to make one who will honor us, who will respect us; one who will be a provider and a sustainer, they said."
120,"Then was the framing, the making of it."
121,Of earth and mud was its flesh composed.
122,But they saw that it was still not good.
123,It merely came undone and crumbled.
124,It merely became sodden and mushy  It merely fell apart and dissolved.
125,Its head was not set apart properly  Its face could only look in one direction.
126,Its face was hidden.
127,Neither could it look about.
128,"At first it spoke, but without knowledge  Straightaway it would merely dissolve in water, for it was not strong."
129,"Then said the Framer and the Shaper: We have made a mistake; thus let this be merely a mistake  It cannot walk, neither can it multiply."
130,Then let it be so.
131,"Let it be merely left behind as a thing of no importance, they said."
132,Therefore they undid it.
133,"They toppled what they had framed, what they had shaped."
134,Then they said again: How then will we truly make that which may succeed and bear fruit; that will worship us and that will call upon us?
135,they asked.
136,"Then they thought again: We shall merely tell Xpiyacoc and Xmucane, Hunahpu Possum and Hunahpu Coyote, Try again a divination, a shaping, said the Framer and the Shaper to each other."
137,"Then they called upon Xpiyacoc and Xmucane, and in this manner were the seers addressed: Grandmother of Day, Grandmother of Light!"
138,"In this way, they were addressed by the Framer and the Shaper, for these are the names of Xpiyacoc and Xmucane."
139,"HURACAN, along with Sovereign and Quetzal Serpent, then spoke to the Master of Days and the Mistress of Shaping, they who are seers: It shall be found; it shall be discovered how we are to create shaped and framed people who will be our providers and sustainers."
140,"May we be called upon, and may we be remembered."
