CGU_ID,Text,Subject,Predicate,Object,Actants,Action,Themes,Cluster_Label
CGU_2_001,"These things are accounted. Still it is silent, still it is calm.",primordial world,is,silent and calm,['cosmic setting'],description of primordial state,"['primordial stillness', 'pre-creation']",0
CGU_2_002,"There is not yet one person, one animal, bird, fish, tree, rock, canyon, or meadow.",world,lacks,life and landscape,"['void', 'absence']",negation,"['non-being', 'cosmic emptiness']",0
CGU_2_003,Merely alone sky exists. Not clear its face.,sky,exists,"alone, unclear","['sky', 'undefined cosmos']",isolated existence,"['unformed cosmos', 'indeterminacy']",1
CGU_2_004,"Tree, Rock, Hollow, Canyon, Meadow,.",unknown,unknown,unknown,[],unspecified,[],0
CGU_2_005,Forest.,unknown,unknown,unknown,[],unspecified,[],0
CGU_2_006,"Merely alone sky exists, Not clear its face earth, Merely alone is spread out sea, Its womb sky everything.",unknown,unknown,unknown,[],unspecified,[],1
CGU_2_007,"There is not anything Gathered together, It is at rest, Not one stirs, Scattered it is made to be,.",unknown,unknown,unknown,[],unspecified,[],0
CGU_2_008,At rest it is made to be in sky.,unknown,unknown,unknown,[],unspecified,[],1
CGU_2_009,There was not yet anything that exists standing erect.,unknown,unknown,unknown,[],unspecified,[],0
CGU_2_010,"Merely spread out water, Merely tranquil sea, Merely alone it is spread out.",unknown,unknown,unknown,[],unspecified,[],0
CGU_2_011,There was not yet anything that might exist.,unknown,unknown,unknown,[],unspecified,[],0
CGU_2_012,"Merely it is placid, It is silent, In darkness, In night.",unknown,unknown,unknown,[],unspecified,[],0
CGU_2_013,"Merely alone the Framer, Shaper, Sovereign, Quetzal Serpent, They Who Have Borne Children,.",unknown,unknown,unknown,[],unspecified,[],2
CGU_2_014,"They Who Have Begotten Sons, Are in water.",unknown,unknown,unknown,[],unspecified,[],0
CGU_2_015,"Luminous they are, Covered in quetzal feathers, In cotinga feathers.",unknown,unknown,unknown,[],unspecified,[],2
CGU_2_016,This his having been named The Quetzal Serpent.,unknown,unknown,unknown,[],unspecified,[],2
CGU_2_017,"Great sages, Great knowers in their essence.",unknown,unknown,unknown,[],unspecified,[],0
CGU_2_018,"Thus surely there is the sky,.",unknown,unknown,unknown,[],unspecified,[],1
CGU_2_019,There is also its Heart Sky.,unknown,unknown,unknown,[],unspecified,[],1
CGU_2_020,This his name The god as it is said.,unknown,unknown,unknown,[],unspecified,[],0
