doc_id,token_num,token_str,term_str,chunk_num
0,0,THIS,this,0
0,1,IS,is,0
0,2,THE,the,0
0,3,BEGINNING,beginning,0
0,4,OF,of,0
0,5,THE,the,0
0,6,ANCIENT,ancient,0
0,7,TRADITIONS,traditions,0
0,8,of,of,0
0,9,this,this,0
0,10,place,place,0
1,0,called,called,0
1,1,Quiche,quiche,0
2,0,HERE,here,0
2,1,we,we,0
2,2,shall,shall,0
2,3,write,write,0
2,4,We,we,0
2,5,shall,shall,0
2,6,begin,begin,0
2,7,to,to,0
2,8,tell,tell,0
2,9,the,the,0
2,10,ancient,ancient,0
2,11,stories,stories,0
2,12,of,of,0
2,13,the,the,0
2,14,"beginning,",beginning,0
3,0,the,the,0
3,1,origin,origin,0
3,2,of,of,0
3,3,all,all,0
3,4,that,that,0
3,5,was,was,0
3,6,done,done,0
3,7,in,in,0
3,8,the,the,0
3,9,citadel,citadel,0
3,10,of,of,0
3,11,"Quiche,",quiche,0
3,12,among,among,0
3,13,the,the,0
3,14,people,people,0
3,15,of,of,0
3,16,the,the,0
3,17,Quiche,quiche,0
4,0,nation,nation,0
5,0,Here,here,0
5,1,we,we,0
5,2,shall,shall,0
5,3,gather,gather,0
5,4,the,the,0
5,5,"manifestation,",manifestation,0
5,6,the,the,0
5,7,"declaration,",declaration,0
5,8,the,the,0
5,9,account,account,0
5,10,of,of,0
5,11,the,the,0
5,12,sowing,sowing,0
6,0,and,and,0
6,1,the,the,0
6,2,dawning,dawning,0
6,3,by,by,0
6,4,the,the,0
6,5,Framer,framer,0
6,6,and,and,0
6,7,the,the,0
6,8,"Shaper,",shaper,0
6,9,She,she,0
6,10,Who,who,0
6,11,Has,has,0
6,12,Borne,borne,0
6,13,Children,children,0
6,14,and,and,0
8,0,He,he,0
8,1,Who,who,0
8,2,Has,has,0
8,3,Begotten,begotten,0
8,4,"Sons,",sons,0
8,5,as,as,0
8,6,they,they,0
8,7,are,are,0
8,8,called;,called,0
8,9,along,along,0
8,10,with,with,0
8,11,Hunahpu,hunahpu,0
8,12,Possum,possum,0
8,13,and,and,0
9,0,Hunahpu,hunahpu,0
9,1,"Coyote,",coyote,0
9,2,Great,great,0
9,3,White,white,0
9,4,Peccary,peccary,0
9,5,and,and,0
9,6,"Coati,",coati,0
9,7,Sovereign,sovereign,0
9,8,and,and,0
9,9,Quetzal,quetzal,0
10,0,"Serpent,",serpent,0
10,1,Heart,heart,0
10,2,of,of,0
10,3,Lake,lake,0
10,4,and,and,0
10,5,Heart,heart,0
10,6,of,of,0
10,7,"Sea,",sea,0
10,8,Creator,creator,0
10,9,of,of,0
10,10,the,the,0
10,11,Green,green,0
10,12,Earth,earth,0
10,13,and,and,0
10,14,Creator,creator,0
10,15,of,of,0
11,0,the,the,0
11,1,Blue,blue,0
11,2,"Sky,",sky,0
11,3,as,as,0
11,4,they,they,0
11,5,are,are,0
11,6,called.,called,0
